# 대단원 이름표 — 원본 자료에 «단원 이름» 이 없어서 사람이 채우는 표
#
# 형식: <학년코드>-<question_unit>,<대단원명>
#
# 왜 있나: 원본 JSON 의 계층은 학기 → 단원(question_unit) → 유형(question_topic_name)
#          3층뿐이고, 단원에는 번호(01~08)만 있고 «이름» 이 없다.
#          그래서 챕터 제목을 여기서 준다.
#
# 근거(2026-09-09 실측): question_unit 은 (학년·학기·영역·topic코드 앞4자리) 와 1:1 이다.
#   unit 01 = M1 1학기 수와 연산     topic코드 7101  (소수와 합성수 / 최대공약수 / 거듭제곱)
#   unit 02 = M1 1학기 수와 연산     topic코드 7102  (유리수의 분류 / 절댓값 / 혼합 계산)
#   unit 03 = M1 1학기 변화와 관계   topic코드 7103  (일차식 / 일차방정식)
#   unit 04 = M1 1학기 변화와 관계   topic코드 7104  (사분면 / y=ax / y=a/x)
#   unit 05 = M1 2학기 도형과 측정   topic코드 7205  (점·선·면 / 위치관계 / 맞꼭지각 / 동위각)
#   unit 06 = M1 2학기 도형과 측정   topic코드 7206  (다각형 / 중심각과 호)
#   unit 07 = M1 2학기 도형과 측정   topic코드 7207  (다면체 / 회전체 / 겉넓이·부피)
#   unit 08 = M1 2학기 자료와 가능성 topic코드 7208  (줄기와 잎 / 도수분포표 / 히스토그램 / 상대도수)
#
# 🔴 새 학년 자료를 넣기 전에 이 표를 먼저 채운다. 비어 있으면 챕터 제목이
#    「(이름 미등록) NN단원」 으로 들어가고, 그 건수가 적재 로그에 남는다.
#
# 근거 문서: docs/research/chapter-granularity-2026-09-09.md
M1-01,소인수분해
M1-02,정수와 유리수
M1-03,문자와 식
M1-04,좌표평면과 그래프
M1-05,기본 도형
M1-06,평면도형
M1-07,입체도형
M1-08,통계
